dengue_name,canonical_name
Ampara,Ampara
Anuradhapura,Anuradhapura
Badulla,Badulla
Batticaloa,Batticaloa
Colombo,Colombo
Galle,Galle
Gampaha,Gampaha
Hambanthota,Hambantota
Jaffna,Jaffna
Kalmune,Ampara
Kalutara,Kalutara
Kandy,Kandy
Kegalle,Kegalle
Kilinochchi,Kilinochchi
Kurunegala,Kurunegala
Mannar,Mannar
Matale,Matale
Matara,Matara
Monaragala,Moneragala
Mullaitivu,Mullaitivu
NuwaraEliya,Nuwara Eliya
Polonnaruwa,Polonnaruwa
Puttalam,Puttalam
Ratnapura,Ratnapura
Trincomalee,Trincomalee
Vavuniya,Vavuniya
