node_id,canonical_name,dengue_names,gadm_name,gadm_gid,province,centroid_lat,centroid_lon
0,Ampara,Ampara|Kalmune,Ampara,LKA.1_1,Eastern,7.238270854436235,81.54929510574816
1,Anuradhapura,Anuradhapura,Anuradhapura,LKA.2_1,North Central,8.391684986614637,80.5120422397231
2,Badulla,Badulla,Badulla,LKA.3_1,Uva,7.0756811841059095,81.04516730217881
3,Batticaloa,Batticaloa,Batticaloa,LKA.4_1,Eastern,7.795005906114442,81.48478833708275
4,Colombo,Colombo,Colombo,LKA.5_1,Western,6.868755434873984,80.02002902096297
5,Galle,Galle,Galle,LKA.6_1,Southern,6.222543853488768,80.25252261157873
6,Gampaha,Gampaha,Gampaha,LKA.7_1,Western,7.122732487066786,80.01747371638295
7,Hambantota,Hambanthota,Hambantota,LKA.8_1,Southern,6.259800040626962,81.09709877411125
8,Jaffna,Jaffna,Jaffna,LKA.9_1,Northern,9.693459085277839,80.10090183832065
9,Kalutara,Kalutara,Kalutara,LKA.10_1,Western,6.576506798034378,80.12780722241264
10,Kandy,Kandy,Kandy,LKA.11_1,Central,7.2729740696092335,80.70937994570475
11,Kegalle,Kegalle,Kegalle,LKA.12_1,Sabaragamuwa,7.103990559499766,80.34270359220189
12,Kilinochchi,Kilinochchi,Kilinochchi,LKA.13_1,Northern,9.420365416579472,80.30516356007064
13,Kurunegala,Kurunegala,Kurunegala,LKA.14_1,North Western,7.663961510321805,80.23620878307172
14,Mannar,Mannar,Mannar,LKA.15_1,Northern,8.878399568770455,80.08926448215782
15,Matale,Matale,Matale,LKA.16_1,Central,7.668478115598858,80.73039211722084
16,Matara,Matara,Matara,LKA.17_1,Southern,6.1421770923276435,80.54029057821255
17,Moneragala,Monaragala,Moneragala,LKA.18_1,Uva,6.786494295209169,81.30359834102552
18,Mullaitivu,Mullaitivu,Mullaitivu,LKA.19_1,Northern,9.175672861316526,80.5413232240076
19,Nuwara Eliya,NuwaraEliya,NuwaraEliya,LKA.20_1,Central,6.974072194789303,80.71179420731876
20,Polonnaruwa,Polonnaruwa,Polonnaruwa,LKA.21_1,North Central,7.994122676466622,81.0259956801153
21,Puttalam,Puttalam,Puttalam,LKA.22_1,North Western,7.973737401886682,79.91393664498372
22,Ratnapura,Ratnapura,Ratnapura,LKA.23_1,Sabaragamuwa,6.587050285580401,80.5662865544011
23,Trincomalee,Trincomalee,Trincomalee,LKA.24_1,Eastern,8.550802442773188,81.09330942508834
24,Vavuniya,Vavuniya,Vavuniya,LKA.25_1,Northern,8.858087295698791,80.48165112537443
