date,canonical_name,rainfall_era5,rainfall_chirps,difference_mm,agreement
2007-12-22,Anuradhapura,4.663722828519876,51.08801865820472,-46.42,chirps only
2007-12-23,Anuradhapura,6.180629384674994,79.85331084056547,-73.67,chirps only
2008-11-24,Anuradhapura,52.72874749882522,33.70729012186187,19.02,era5 only
2008-12-06,Anuradhapura,81.84519472837891,53.59782584039996,28.25,both
2008-12-07,Anuradhapura,10.86613051180293,65.74650764448994,-54.88,chirps only
2008-12-18,Anuradhapura,55.52256376620063,6.553710060860422,48.97,era5 only
2009-01-06,Anuradhapura,73.43881786234998,15.694823906389034,57.74,era5 only
2009-12-15,Anuradhapura,17.2707141793109,56.486514524613206,-39.22,chirps only
2009-12-21,Anuradhapura,14.171549016526685,56.15666631035273,-41.99,chirps only
2010-11-24,Anuradhapura,14.862996220170537,52.39840152160589,-37.54,chirps only
2010-11-30,Anuradhapura,38.08230299541974,57.62715008068786,-19.54,chirps only
2010-12-03,Anuradhapura,50.580259827191874,47.23172842859952,3.35,era5 only
2010-12-24,Anuradhapura,150.24901807639952,17.769481926378763,132.48,era5 only
2011-01-08,Anuradhapura,118.4436789130676,18.056432270532667,100.39,era5 only
2011-01-09,Anuradhapura,12.573979495054456,57.36940528768893,-44.8,chirps only
2011-01-13,Anuradhapura,59.69362641339023,7.493157856671135,52.2,era5 only
2011-02-03,Anuradhapura,148.48200587892347,28.53193343407996,119.95,era5 only
2011-02-04,Anuradhapura,75.22087512995456,15.235599408426523,59.99,era5 only
2011-02-07,Anuradhapura,13.83799810038545,58.31465831865441,-44.48,chirps only
2011-11-24,Anuradhapura,17.569551999558232,55.83882710998349,-38.27,chirps only
2012-10-29,Anuradhapura,90.7065456863003,54.66828353897059,36.04,both
2012-10-30,Anuradhapura,23.67624711678977,57.20062849191208,-33.52,chirps only
2012-11-26,Anuradhapura,77.65444058242461,39.3624063280026,38.29,era5 only
2012-12-17,Anuradhapura,8.07139757892457,51.94368058675684,-43.87,chirps only
2012-12-22,Anuradhapura,36.22601626621452,128.07436514553723,-91.85,chirps only
2012-12-27,Anuradhapura,16.26237498885757,71.36743042688661,-55.11,chirps only
2013-01-07,Anuradhapura,76.74809478740767,55.99238381343776,20.76,both
2013-03-04,Anuradhapura,11.662053343082036,50.75272295626856,-39.09,chirps only
2014-01-15,Anuradhapura,75.08635977836055,23.697441408839502,51.39,era5 only
2014-11-26,Anuradhapura,34.90679208659728,58.77794844544324,-23.87,chirps only
2014-11-27,Anuradhapura,25.82034281532989,50.14001848432083,-24.32,chirps only
2014-12-17,Anuradhapura,33.61030554911912,50.01034227714062,-16.4,chirps only
2014-12-20,Anuradhapura,36.3487312887186,55.86837342407639,-19.52,chirps only
2014-12-22,Anuradhapura,65.70235863123658,50.21100743251204,15.49,both
2014-12-26,Anuradhapura,18.86925997932,69.89825476912571,-51.03,chirps only
2014-12-27,Anuradhapura,17.851084542920766,58.11025384293523,-40.26,chirps only
2015-11-14,Anuradhapura,52.09471958034011,51.46367191409369,0.63,both
2015-11-15,Anuradhapura,73.60045957033216,49.14603681777167,24.45,era5 only
2016-05-14,Anuradhapura,27.0083931408242,60.10567785012388,-33.1,chirps only
2016-05-15,Anuradhapura,99.29742459959564,93.7797973304681,5.52,both
2016-05-16,Anuradhapura,83.21094372178597,74.41442059382285,8.8,both
2016-05-17,Anuradhapura,21.022630901110222,54.79252321221284,-33.77,chirps only
2017-01-27,Anuradhapura,15.710838273478068,63.20392319642102,-47.49,chirps only
2018-11-06,Anuradhapura,67.02838940164622,36.53509312090436,30.49,era5 only
2019-10-29,Anuradhapura,53.53538621347192,13.21638970557416,40.32,era5 only
2019-11-29,Anuradhapura,10.226227925332752,59.726020472494426,-49.5,chirps only
2019-11-30,Anuradhapura,34.207916473026785,50.251648154361575,-16.04,chirps only
2019-12-02,Anuradhapura,17.42677507819905,64.63342809148288,-47.21,chirps only
2019-12-04,Anuradhapura,11.12643589336512,57.60634807751092,-46.48,chirps only
2020-11-09,Anuradhapura,41.17420088278406,78.73245377518006,-37.56,chirps only
2020-12-02,Anuradhapura,88.10333027115182,71.49696188565066,16.61,both
2021-01-11,Anuradhapura,51.17477640101136,33.372339433428714,17.8,era5 only
2021-01-29,Anuradhapura,55.15363900324117,20.52599398704131,34.63,era5 only
2022-12-19,Anuradhapura,30.2965086372583,58.737240243452334,-28.44,chirps only
2022-12-25,Anuradhapura,8.967424869011934,50.08606133438986,-41.12,chirps only
2023-02-01,Anuradhapura,61.98300269527565,42.86728008100907,19.12,era5 only
2023-05-01,Anuradhapura,29.74299521694808,60.62662710533348,-30.88,chirps only
2023-12-14,Anuradhapura,11.097829068171462,54.68423589523651,-43.59,chirps only
2024-01-10,Anuradhapura,15.608022406837636,58.618629633846886,-43.01,chirps only
2024-05-14,Anuradhapura,55.19725071369255,26.31205962837818,28.89,era5 only
2024-11-08,Anuradhapura,20.582688715622307,51.47648707292664,-30.89,chirps only
2024-11-25,Anuradhapura,72.44000367269092,41.36578545670868,31.07,era5 only
2024-11-26,Anuradhapura,55.48567182766493,56.96985664095047,-1.48,both
2024-12-16,Anuradhapura,63.151141706814265,22.55252660288249,40.6,era5 only
2025-10-21,Anuradhapura,51.63374422948228,19.89244104163494,31.74,era5 only
2025-11-26,Anuradhapura,57.50274434164041,14.475012720979308,43.03,era5 only
2025-11-27,Anuradhapura,196.2880374741002,72.20226534403606,124.09,both
2025-11-28,Anuradhapura,54.56013307666985,67.63673354649379,-13.08,both
2006-06-20,Colombo,36.985954604287485,82.78467695036804,-45.8,chirps only
2006-06-22,Colombo,30.966585910597363,53.7023876075528,-22.74,chirps only
2006-07-04,Colombo,29.62610131813833,61.24198008203506,-31.62,chirps only
2006-08-13,Colombo,52.13421732281127,22.97811123804613,29.16,era5 only
2006-09-06,Colombo,6.889697208436209,57.74783327271717,-50.86,chirps only
2006-09-07,Colombo,14.308909615534812,64.80947198954496,-50.5,chirps only
2006-09-08,Colombo,28.634816691604914,65.52129589366908,-36.89,chirps only
2006-10-18,Colombo,52.87452481535985,41.916533794576495,10.96,era5 only
2006-10-20,Colombo,126.1946950194826,35.364589553356176,90.83,era5 only
2006-10-23,Colombo,175.08231319392488,35.43742675839773,139.64,era5 only
2006-10-25,Colombo,53.20392248165725,27.86682616992432,25.34,era5 only
2006-10-26,Colombo,39.46998146243436,64.41415607565104,-24.94,chirps only
2006-10-27,Colombo,35.36933530592286,85.43035343933104,-50.06,chirps only
2006-11-06,Colombo,154.75735392780902,22.70549157966268,132.05,era5 only
2006-11-15,Colombo,64.24516714246712,16.36038135344332,47.88,era5 only
2006-11-18,Colombo,81.96276232445742,28.72287692624872,53.24,era5 only
2006-11-20,Colombo,20.004868095535567,50.58263634187525,-30.58,chirps only
2006-11-26,Colombo,63.33450038536704,32.42312550991233,30.91,era5 only
2007-03-13,Colombo,62.177011995836594,10.7762773669633,51.4,era5 only
2007-04-07,Colombo,60.002987741394456,44.11195420291209,15.89,era5 only
2007-04-08,Colombo,41.22683655437071,50.2262451658249,-9.0,chirps only
2007-04-11,Colombo,52.27980811433096,37.985607788129286,14.29,era5 only
2007-05-28,Colombo,36.61835192206619,66.67369814933433,-30.06,chirps only
2007-06-14,Colombo,32.45513993192178,58.12248132653672,-25.67,chirps only
2007-06-21,Colombo,38.82211587614344,56.39700284957887,-17.57,chirps only
2007-06-22,Colombo,18.20447714092743,78.22929176477956,-60.02,chirps only
2007-09-07,Colombo,17.333439479562447,51.24361553044755,-33.91,chirps only
2008-02-28,Colombo,79.2756867243199,4.569282920246777,74.71,era5 only
2008-02-29,Colombo,75.63954484911083,1.961825619497084,73.68,era5 only
2008-03-10,Colombo,80.2139045930168,12.292766662922782,67.92,era5 only
2008-03-12,Colombo,10.062886303364728,56.84466534597223,-46.78,chirps only
2008-03-13,Colombo,5.566750153678324,51.781485480135146,-46.21,chirps only
2008-03-15,Colombo,36.23836380346837,60.72598735731298,-24.49,chirps only
2008-04-09,Colombo,52.15269887058195,19.574822026675395,32.58,era5 only
2008-04-28,Colombo,15.70704481272879,58.22565806232801,-42.52,chirps only
2008-06-01,Colombo,24.85663640829416,61.32876308302447,-36.47,chirps only
2008-06-22,Colombo,22.684072382507185,52.77554155540465,-30.09,chirps only
2008-07-18,Colombo,60.64193104056702,69.10912176288261,-8.47,both
2008-10-20,Colombo,62.94388043955318,35.65628223865684,27.29,era5 only
2008-11-21,Colombo,58.850159429694266,12.173712312438266,46.68,era5 only
2009-01-27,Colombo,58.59423752986417,14.262763720924202,44.33,era5 only
2009-05-24,Colombo,74.96064009336229,0.0,74.96,era5 only
2009-06-19,Colombo,22.05469025950645,53.32515607690813,-31.27,chirps only
2009-06-29,Colombo,24.324664692346715,56.320646389311015,-32.0,chirps only
2009-07-17,Colombo,14.51339335752823,53.73822279357912,-39.22,chirps only
2009-08-16,Colombo,32.115981193670784,51.56330667153275,-19.45,chirps only
2009-09-18,Colombo,22.53892809061326,104.66273818709632,-82.12,chirps only
2009-10-01,Colombo,53.10607796391432,12.200719073815788,40.91,era5 only
2009-10-02,Colombo,32.41642377576178,67.67163741883365,-35.26,chirps only
2009-10-29,Colombo,54.992564278402256,17.41082066195662,37.58,era5 only
2009-10-31,Colombo,50.30194982971677,25.718481402917337,24.58,era5 only
2009-11-18,Colombo,50.829323937619925,19.30579344209757,31.52,era5 only
2010-05-17,Colombo,9.659601869692777,66.89740849269523,-57.24,chirps only
2010-05-20,Colombo,59.55494238000364,69.12907466420266,-9.57,both
2010-05-21,Colombo,17.750154640874747,67.76899733343996,-50.02,chirps only
2010-06-10,Colombo,57.20451321919319,0.0202415051893754,57.18,era5 only
2010-06-11,Colombo,18.340402062599846,58.86984982286802,-40.53,chirps only
2010-06-23,Colombo,29.37793563485002,71.7774068237652,-42.4,chirps only
2010-06-28,Colombo,43.1344949299568,65.00614257812504,-21.87,chirps only
2010-07-05,Colombo,33.224424846557135,53.29623204430671,-20.07,chirps only
2010-09-21,Colombo,9.397941835700918,74.94883617843284,-65.55,chirps only
