canonical_name,month,era5_mean_mm,chirps_mean_mm,era5_days,chirps_days,difference_mm
Anuradhapura,1,3.377,3.575,651,651,-0.198
Anuradhapura,2,2.224,2.013,593,593,0.211
Anuradhapura,3,1.95,2.504,651,651,-0.554
Anuradhapura,4,3.491,4.878,626,626,-1.388
Anuradhapura,5,3.317,4.997,620,620,-1.681
Anuradhapura,6,1.205,0.236,600,600,0.969
Anuradhapura,7,1.489,1.178,620,620,0.311
Anuradhapura,8,2.108,1.906,620,620,0.202
Anuradhapura,9,2.398,3.546,600,600,-1.148
Anuradhapura,10,7.089,8.219,620,620,-1.13
Anuradhapura,11,9.53,10.799,600,600,-1.269
Anuradhapura,12,6.251,8.656,628,628,-2.405
Colombo,1,3.466,3.248,651,651,0.218
Colombo,2,3.464,3.534,593,593,-0.07
Colombo,3,5.141,6.267,651,651,-1.126
Colombo,4,8.271,11.1,626,626,-2.829
Colombo,5,11.747,13.369,620,620,-1.622
Colombo,6,11.249,10.988,600,600,0.261
Colombo,7,9.758,6.357,620,620,3.401
Colombo,8,10.06,7.164,620,620,2.896
Colombo,9,10.527,11.996,600,600,-1.469
Colombo,10,14.42,15.509,620,620,-1.089
Colombo,11,13.596,13.365,600,600,0.232
Colombo,12,7.63,6.423,628,628,1.207
Gampaha,1,2.611,2.584,651,651,0.027
Gampaha,2,2.281,2.97,593,593,-0.689
Gampaha,3,3.983,5.473,651,651,-1.49
Gampaha,4,6.859,9.976,626,626,-3.118
Gampaha,5,9.656,11.317,620,620,-1.661
Gampaha,6,9.133,9.319,600,600,-0.186
Gampaha,7,7.941,4.748,620,620,3.193
Gampaha,8,8.215,5.272,620,620,2.943
Gampaha,9,8.833,8.689,600,600,0.145
Gampaha,10,13.151,14.121,620,620,-0.97
Gampaha,11,12.168,12.344,600,600,-0.176
Gampaha,12,5.814,5.233,628,628,0.58
Jaffna,1,2.641,2.688,651,651,-0.047
Jaffna,2,1.224,1.18,593,593,0.044
Jaffna,3,1.087,0.954,651,651,0.133
Jaffna,4,1.781,2.034,626,626,-0.253
Jaffna,5,2.081,1.386,620,620,0.695
Jaffna,6,0.953,0.048,600,600,0.905
Jaffna,7,1.217,0.025,620,620,1.192
Jaffna,8,1.816,0.556,620,620,1.26
Jaffna,9,2.01,1.009,600,600,1.001
Jaffna,10,6.877,7.619,620,620,-0.742
Jaffna,11,11.373,15.386,600,600,-4.013
Jaffna,12,6.384,7.778,628,628,-1.394
Ratnapura,1,7.653,4.347,651,651,3.306
Ratnapura,2,6.115,4.729,593,593,1.386
Ratnapura,3,6.561,7.136,651,651,-0.575
Ratnapura,4,10.202,9.726,626,626,0.475
Ratnapura,5,9.275,12.071,620,620,-2.796
Ratnapura,6,6.273,8.834,600,600,-2.561
Ratnapura,7,5.51,5.376,620,620,0.134
Ratnapura,8,6.121,6.655,620,620,-0.534
Ratnapura,9,7.192,8.708,600,600,-1.516
Ratnapura,10,13.774,12.679,620,620,1.095
Ratnapura,11,17.051,12.993,600,600,4.058
Ratnapura,12,11.465,6.898,628,628,4.567
