model,variant,fold_id,test_year,covers_covid,headline,seed,best_epoch,mae,rmse,peak_mae,peak_cells,cells
gcn_gru,v0,1,2017,False,True,0,48,52.52121353149414,124.62149810791016,59.33141326904297,1114,1300
gcn_gru,v0,1,2017,False,True,1,43,53.09415817260742,127.3191909790039,59.97813415527344,1114,1300
gcn_gru,v0,1,2017,False,True,2,36,49.98598098754883,121.5796890258789,56.35762023925781,1114,1300
gru_only,v0,1,2017,False,True,0,45,42.757137298583984,98.17546844482422,47.994449615478516,1114,1300
gru_only,v0,1,2017,False,True,1,43,41.624664306640625,98.01394653320312,46.75554656982422,1114,1300
gru_only,v0,1,2017,False,True,2,67,46.214569091796875,111.87454223632812,52.186012268066406,1114,1300
gcn_gru,v0,2,2018,False,True,0,2,10.335616111755371,16.366899490356445,16.10812759399414,273,1300
gcn_gru,v0,2,2018,False,True,1,1,10.509514808654785,16.80777931213379,16.08888053894043,273,1300
gcn_gru,v0,2,2018,False,True,2,1,10.681922912597656,17.004222869873047,16.56682777404785,273,1300
gru_only,v0,2,2018,False,True,0,21,9.932562828063965,16.552669525146484,17.389362335205078,273,1300
gru_only,v0,2,2018,False,True,1,10,10.025999069213867,16.835161209106445,17.12287139892578,273,1300
gru_only,v0,2,2018,False,True,2,19,9.753241539001465,16.19823455810547,16.453807830810547,273,1300
gcn_gru,v0,3,2019,False,True,0,15,17.6671199798584,36.34812927246094,34.30465316772461,476,1300
gcn_gru,v0,3,2019,False,True,1,16,17.57514190673828,36.2371940612793,34.0280876159668,476,1300
gcn_gru,v0,3,2019,False,True,2,23,17.88722038269043,37.077308654785156,34.94499969482422,476,1300
gru_only,v0,3,2019,False,True,0,29,16.805158615112305,35.165958404541016,32.83064270019531,476,1300
gru_only,v0,3,2019,False,True,1,21,16.882543563842773,35.37103271484375,32.892486572265625,476,1300
gru_only,v0,3,2019,False,True,2,15,16.740276336669922,34.31935119628906,32.55268859863281,476,1300
gcn_gru,v0,4,2020,True,False,0,18,7.258168697357178,15.271730422973633,24.377487182617188,117,1300
gcn_gru,v0,4,2020,True,False,1,13,7.444028854370117,16.103849411010742,26.09099578857422,117,1300
gcn_gru,v0,4,2020,True,False,2,17,7.523800373077393,16.066848754882812,26.605985641479492,117,1300
gru_only,v0,4,2020,True,False,0,25,7.884819030761719,18.080419540405273,29.939714431762695,117,1300
