arm,variant,fold_id,test_year,seed,node_id,canonical_name,gate
gated,v1,1,2017,0,0,Ampara,0.35836992
gated,v1,1,2017,0,1,Anuradhapura,0.3710972
gated,v1,1,2017,0,2,Badulla,0.33490765
gated,v1,1,2017,0,3,Batticaloa,0.456628
gated,v1,1,2017,0,4,Colombo,0.43763986
gated,v1,1,2017,0,5,Galle,0.41154298
gated,v1,1,2017,0,6,Gampaha,0.42916322
gated,v1,1,2017,0,7,Hambantota,0.33599225
gated,v1,1,2017,0,8,Jaffna,0.5385954
gated,v1,1,2017,0,9,Kalutara,0.32492092
gated,v1,1,2017,0,10,Kandy,0.37175652
gated,v1,1,2017,0,11,Kegalle,0.32236615
gated,v1,1,2017,0,12,Kilinochchi,0.40068728
gated,v1,1,2017,0,13,Kurunegala,0.2937807
gated,v1,1,2017,0,14,Mannar,0.35218948
gated,v1,1,2017,0,15,Matale,0.30451968
gated,v1,1,2017,0,16,Matara,0.31601545
gated,v1,1,2017,0,17,Moneragala,0.33281764
gated,v1,1,2017,0,18,Mullaitivu,0.45016366
gated,v1,1,2017,0,19,Nuwara Eliya,0.3920986
gated,v1,1,2017,0,20,Polonnaruwa,0.31282505
gated,v1,1,2017,0,21,Puttalam,0.2756914
gated,v1,1,2017,0,22,Ratnapura,0.35256967
gated,v1,1,2017,0,23,Trincomalee,0.3014476
gated,v1,1,2017,0,24,Vavuniya,0.3857231
gated,v1,1,2017,1,0,Ampara,0.33436355
gated,v1,1,2017,1,1,Anuradhapura,0.3743685
gated,v1,1,2017,1,2,Badulla,0.3253222
gated,v1,1,2017,1,3,Batticaloa,0.46934095
gated,v1,1,2017,1,4,Colombo,0.42482972
gated,v1,1,2017,1,5,Galle,0.4220256
gated,v1,1,2017,1,6,Gampaha,0.43683618
gated,v1,1,2017,1,7,Hambantota,0.3729054
gated,v1,1,2017,1,8,Jaffna,0.545101
gated,v1,1,2017,1,9,Kalutara,0.32878852
gated,v1,1,2017,1,10,Kandy,0.4058686
gated,v1,1,2017,1,11,Kegalle,0.33338836
gated,v1,1,2017,1,12,Kilinochchi,0.42244676
gated,v1,1,2017,1,13,Kurunegala,0.31697375
gated,v1,1,2017,1,14,Mannar,0.3662694
gated,v1,1,2017,1,15,Matale,0.31163725
gated,v1,1,2017,1,16,Matara,0.34939542
gated,v1,1,2017,1,17,Moneragala,0.33763152
gated,v1,1,2017,1,18,Mullaitivu,0.45139456
gated,v1,1,2017,1,19,Nuwara Eliya,0.3807707
gated,v1,1,2017,1,20,Polonnaruwa,0.3312074
