arm,variant,fold_id,test_year,headline,covers_covid,seed,best_epoch,mae,rmse,peak_mae,peak_cells,cells
gcn_gru,v1,1,2017,True,False,0,24,50.90462875366211,120.65402221679688,57.689876556396484,1114,1300
gcn_gru,v1,1,2017,True,False,1,43,54.51525115966797,128.55484008789062,61.74480438232422,1114,1300
gcn_gru,v1,1,2017,True,False,2,36,59.572391510009766,143.72286987304688,67.6873779296875,1114,1300
gru_only,v1,1,2017,True,False,0,74,43.18185043334961,100.46265411376953,48.69184875488281,1114,1300
gru_only,v1,1,2017,True,False,1,43,43.53334426879883,99.37689208984375,48.97068405151367,1114,1300
gru_only,v1,1,2017,True,False,2,50,45.78452682495117,111.50432586669922,51.607601165771484,1114,1300
gated,v1,1,2017,True,False,0,53,54.55479431152344,134.31312561035156,62.06399917602539,1114,1300
gated,v1,1,2017,True,False,1,43,50.90068054199219,120.27462005615234,57.675724029541016,1114,1300
gated,v1,1,2017,True,False,2,40,54.05997085571289,130.8743438720703,61.40961456298828,1114,1300
gated_uniform,v1,1,2017,True,False,0,24,54.37556076049805,134.0946502685547,61.8480224609375,1114,1300
gated_uniform,v1,1,2017,True,False,1,33,52.330997467041016,122.40628814697266,59.3433837890625,1114,1300
gated_uniform,v1,1,2017,True,False,2,40,54.648712158203125,132.906005859375,62.08278274536133,1114,1300
gcn_gru,v1,2,2018,True,False,0,2,10.112299919128418,16.149078369140625,15.959650039672852,273,1300
gcn_gru,v1,2,2018,True,False,1,3,9.994112968444824,15.955976486206055,15.907234191894531,273,1300
gcn_gru,v1,2,2018,True,False,2,2,10.123905181884766,16.174762725830078,16.016294479370117,273,1300
gru_only,v1,2,2018,True,False,0,31,9.791386604309082,16.73987579345703,17.199247360229492,273,1300
gru_only,v1,2,2018,True,False,1,10,9.9099702835083,16.82708168029785,17.18090057373047,273,1300
gru_only,v1,2,2018,True,False,2,14,9.577953338623047,15.929834365844727,16.698101043701172,273,1300
gated,v1,2,2018,True,False,0,2,9.913246154785156,15.919737815856934,15.811966896057129,273,1300
gated,v1,2,2018,True,False,1,10,10.05130672454834,16.889957427978516,17.31089210510254,273,1300
gated,v1,2,2018,True,False,2,2,10.006360054016113,16.079177856445312,15.845194816589355,273,1300
gated_uniform,v1,2,2018,True,False,0,2,9.913824081420898,15.919684410095215,15.811793327331543,273,1300
gated_uniform,v1,2,2018,True,False,1,10,10.068336486816406,16.857900619506836,17.17249298095703,273,1300
gated_uniform,v1,2,2018,True,False,2,2,10.006568908691406,16.079376220703125,15.844937324523926,273,1300
gcn_gru,v1,3,2019,True,False,0,27,17.16986083984375,35.7626953125,33.10712432861328,476,1300
gcn_gru,v1,3,2019,True,False,1,29,17.7291202545166,37.982234954833984,34.32789993286133,476,1300
gcn_gru,v1,3,2019,True,False,2,23,17.877376556396484,37.624114990234375,35.29470443725586,476,1300
gru_only,v1,3,2019,True,False,0,34,17.17157745361328,36.36130905151367,33.88302230834961,476,1300
gru_only,v1,3,2019,True,False,1,41,16.75602912902832,36.011436462402344,32.99091339111328,476,1300
gru_only,v1,3,2019,True,False,2,29,16.827363967895508,36.27786636352539,33.19855499267578,476,1300
gated,v1,3,2019,True,False,0,30,17.046201705932617,36.257667541503906,33.419532775878906,476,1300
gated,v1,3,2019,True,False,1,34,16.776363372802734,35.34428024291992,32.844207763671875,476,1300
gated,v1,3,2019,True,False,2,25,18.02723503112793,39.355865478515625,36.3696174621582,476,1300
gated_uniform,v1,3,2019,True,False,0,30,16.88129425048828,35.67103958129883,32.9029655456543,476,1300
gated_uniform,v1,3,2019,True,False,1,26,17.7569522857666,39.0589599609375,35.43647766113281,476,1300
gated_uniform,v1,3,2019,True,False,2,25,17.982603073120117,39.24692153930664,36.16386413574219,476,1300
gcn_gru,v1,4,2020,False,True,0,32,7.435408592224121,15.597638130187988,26.225814819335938,117,1300
gcn_gru,v1,4,2020,False,True,1,18,7.467675685882568,15.839151382446289,26.298933029174805,117,1300
gcn_gru,v1,4,2020,False,True,2,30,8.42507553100586,19.063587188720703,34.21796798706055,117,1300
gru_only,v1,4,2020,False,True,0,60,7.226207733154297,15.954387664794922,25.244672775268555,117,1300
gru_only,v1,4,2020,False,True,1,34,7.179447650909424,16.123857498168945,25.42189598083496,117,1300
gru_only,v1,4,2020,False,True,2,31,7.784070014953613,17.904483795166016,28.441390991210938,117,1300
gated,v1,4,2020,False,True,0,18,7.4613752365112305,16.945974349975586,28.27374267578125,117,1300
gated,v1,4,2020,False,True,1,34,7.529472827911377,16.707643508911133,26.596914291381836,117,1300
gated,v1,4,2020,False,True,2,49,7.343490123748779,16.025999069213867,23.589080810546875,117,1300
gated_uniform,v1,4,2020,False,True,0,62,8.110320091247559,17.76421356201172,27.43292808532715,117,1300
gated_uniform,v1,4,2020,False,True,1,16,7.23415994644165,15.853105545043945,26.155067443847656,117,1300
gated_uniform,v1,4,2020,False,True,2,31,8.263712882995605,18.572601318359375,29.87883949279785,117,1300
gcn_gru,v1,5,2021,False,True,0,32,7.381219387054443,19.560731887817383,37.83855438232422,31,1300
gcn_gru,v1,5,2021,False,True,1,16,7.181868076324463,19.74794578552246,33.798622131347656,31,1300
gcn_gru,v1,5,2021,False,True,2,17,7.204017639160156,19.55140495300293,33.71635818481445,31,1300
gru_only,v1,5,2021,False,True,0,32,7.073617935180664,18.159637451171875,38.26681900024414,31,1300
gru_only,v1,5,2021,False,True,1,33,7.162631988525391,18.323471069335938,39.70756912231445,31,1300
gru_only,v1,5,2021,False,True,2,17,6.964481830596924,18.01625633239746,37.40287399291992,31,1300
gated,v1,5,2021,False,True,0,32,6.95596981048584,17.832843780517578,33.78275680541992,31,1300
gated,v1,5,2021,False,True,1,33,7.114994049072266,18.019187927246094,34.01673889160156,31,1300
gated,v1,5,2021,False,True,2,9,7.002594470977783,18.343643188476562,33.60966110229492,31,1300
gated_uniform,v1,5,2021,False,True,0,32,6.980531692504883,17.864192962646484,33.33271408081055,31,1300
gated_uniform,v1,5,2021,False,True,1,33,7.1370697021484375,18.06768035888672,33.41603088378906,31,1300
gated_uniform,v1,5,2021,False,True,2,9,7.007609844207764,18.363319396972656,33.34983825683594,31,1300
gcn_gru,v1,6,2022,True,False,0,12,12.10723876953125,22.12836265563965,23.70057487487793,116,1325
gcn_gru,v1,6,2022,True,False,1,15,12.210948944091797,22.26152229309082,23.29328155517578,116,1325
gcn_gru,v1,6,2022,True,False,2,13,12.18233585357666,22.23395538330078,23.78291130065918,116,1325
gru_only,v1,6,2022,True,False,0,13,11.566573143005371,20.882640838623047,23.861040115356445,116,1325
gru_only,v1,6,2022,True,False,1,9,11.689901351928711,21.202594757080078,24.05145835876465,116,1325
gru_only,v1,6,2022,True,False,2,23,11.503077507019043,20.769651412963867,24.01299476623535,116,1325
gated,v1,6,2022,True,False,0,13,11.579638481140137,21.100135803222656,24.11275863647461,116,1325
gated,v1,6,2022,True,False,1,12,11.630983352661133,21.262331008911133,23.77911376953125,116,1325
gated,v1,6,2022,True,False,2,48,11.502469062805176,21.032621383666992,22.689136505126953,116,1325
gated_uniform,v1,6,2022,True,False,0,13,11.618704795837402,21.168794631958008,24.16740608215332,116,1325
gated_uniform,v1,6,2022,True,False,1,12,11.679945945739746,21.34265899658203,23.76236343383789,116,1325
gated_uniform,v1,6,2022,True,False,2,11,11.660645484924316,21.34588623046875,23.26583480834961,116,1325
gcn_gru,v1,7,2023,True,False,0,38,19.003662109375,42.38680648803711,35.26382827758789,363,1300
gcn_gru,v1,7,2023,True,False,1,28,18.849231719970703,42.159332275390625,34.669673919677734,363,1300
gcn_gru,v1,7,2023,True,False,2,38,19.307920455932617,43.164852142333984,34.83024597167969,363,1300
gru_only,v1,7,2023,True,False,0,62,17.982778549194336,40.11629867553711,34.79412078857422,363,1300
gru_only,v1,7,2023,True,False,1,114,18.322797775268555,40.61153030395508,35.933189392089844,363,1300
gru_only,v1,7,2023,True,False,2,40,18.118026733398438,40.38090133666992,35.60640335083008,363,1300
gated,v1,7,2023,True,False,0,27,18.48442840576172,41.0905647277832,35.987937927246094,363,1300
gated,v1,7,2023,True,False,1,30,18.66806411743164,41.48872756958008,37.29661178588867,363,1300
gated,v1,7,2023,True,False,2,40,18.337081909179688,40.805694580078125,36.00547790527344,363,1300
gated_uniform,v1,7,2023,True,False,0,28,18.47333526611328,41.2742805480957,35.91103744506836,363,1300
gated_uniform,v1,7,2023,True,False,1,30,18.69765853881836,41.66956329345703,37.342010498046875,363,1300
gated_uniform,v1,7,2023,True,False,2,40,18.523109436035156,41.15583801269531,36.154109954833984,363,1300
gcn_gru,v1,8,2024,True,False,0,11,9.97921371459961,18.8394832611084,23.438936233520508,145,1300
gcn_gru,v1,8,2024,True,False,1,16,10.088695526123047,19.290098190307617,23.721982955932617,145,1300
gcn_gru,v1,8,2024,True,False,2,11,10.190469741821289,19.336776733398438,24.23383903503418,145,1300
gru_only,v1,8,2024,True,False,0,43,9.179122924804688,18.754627227783203,21.576339721679688,145,1300
gru_only,v1,8,2024,True,False,1,33,9.08885669708252,18.34344482421875,21.617656707763672,145,1300
gru_only,v1,8,2024,True,False,2,39,9.1551513671875,18.40467643737793,21.987394332885742,145,1300
gated,v1,8,2024,True,False,0,58,9.481799125671387,18.91298484802246,22.081369400024414,145,1300
gated,v1,8,2024,True,False,1,32,9.346600532531738,18.455707550048828,21.70180320739746,145,1300
gated,v1,8,2024,True,False,2,32,9.380362510681152,18.410747528076172,21.85743522644043,145,1300
gated_uniform,v1,8,2024,True,False,0,28,9.410211563110352,18.246755599975586,21.877098083496094,145,1300
gated_uniform,v1,8,2024,True,False,1,25,9.517531394958496,18.585861206054688,21.93187141418457,145,1300
gated_uniform,v1,8,2024,True,False,2,32,9.582725524902344,18.652883529663086,21.904582977294922,145,1300
gcn_gru,v1,9,2025,True,False,0,20,9.011606216430664,15.817188262939453,18.067155838012695,103,1300
gcn_gru,v1,9,2025,True,False,1,29,9.035943984985352,16.022192001342773,18.492874145507812,103,1300
gcn_gru,v1,9,2025,True,False,2,33,9.132597923278809,16.342832565307617,18.75244140625,103,1300
