arm,loss,level_weighted,variant,fold_id,test_year,covers_covid,headline,seed,best_epoch,ensemble,mae,rmse,peak_mae,peak_cells,cells
baseline,mse,False,v1,1,2017,False,True,0,46.0,False,49.98942565917969,115.31916809082031,56.547420501708984,1114,1300
baseline,mse,False,v1,1,2017,False,True,1,34.0,False,55.82947540283203,133.3299102783203,63.3447380065918,1114,1300
baseline,mse,False,v1,1,2017,False,True,2,36.0,False,58.597267150878906,139.9339599609375,66.56124877929688,1114,1300
baseline,mse,False,v1,1,2017,False,True,-1,38.666666666666664,True,54.45217514038086,129.0430145263672,61.77451705932617,1114,1300
huber,huber,False,v1,1,2017,False,True,0,61.0,False,52.60396194458008,123.02549743652344,59.66080856323242,1114,1300
huber,huber,False,v1,1,2017,False,True,1,29.0,False,44.324398040771484,102.72217559814453,49.87175369262695,1114,1300
huber,huber,False,v1,1,2017,False,True,2,40.0,False,52.355804443359375,122.520263671875,59.34944534301758,1114,1300
huber,huber,False,v1,1,2017,False,True,-1,43.333333333333336,True,49.47704315185547,115.7143783569336,55.98636245727539,1114,1300
level_weighted,mse,True,v1,1,2017,False,True,0,11.0,False,35.813419342041016,79.35707092285156,39.62166976928711,1114,1300
level_weighted,mse,True,v1,1,2017,False,True,1,2.0,False,35.677547454833984,79.4761734008789,39.44147491455078,1114,1300
level_weighted,mse,True,v1,1,2017,False,True,2,28.0,False,42.67738723754883,97.69804382324219,47.888084411621094,1114,1300
level_weighted,mse,True,v1,1,2017,False,True,-1,13.666666666666666,True,36.91746520996094,82.2735595703125,41.01142501831055,1114,1300
huber_weighted,huber,True,v1,1,2017,False,True,0,31.0,False,45.14688491821289,104.01361083984375,50.88747787475586,1114,1300
huber_weighted,huber,True,v1,1,2017,False,True,1,33.0,False,43.67137145996094,96.25443267822266,48.9975700378418,1114,1300
huber_weighted,huber,True,v1,1,2017,False,True,2,45.0,False,51.14677810668945,123.09393310546875,57.84416961669922,1114,1300
