arm,backbone,variant,lookback,fold_id,test_year,headline,covers_covid,seed,train_windows,best_epoch,mae,rmse,peak_mae,peak_cells,cells
hand_lags_v1,gcn_gru,v1,12,1,2017,True,False,0,459,24,51.056922912597656,121.08393096923828,57.87223815917969,1114,1300
hand_lags_v1,gcn_gru,v1,12,2,2018,True,False,0,512,2,10.112299919128418,16.149078369140625,15.959651947021484,273,1300
hand_lags_v1,gcn_gru,v1,12,3,2019,True,False,0,564,27,17.185592651367188,35.835693359375,33.1816291809082,476,1300
hand_lags_v1,gcn_gru,v1,12,4,2020,False,True,0,616,20,7.350691318511963,15.527388572692871,25.71140480041504,117,1300
hand_lags_v1,gcn_gru,v1,12,5,2021,False,True,0,668,32,7.353152751922607,19.464920043945312,37.64262390136719,31,1300
hand_lags_v1,gcn_gru,v1,12,6,2022,True,False,0,720,12,12.107283592224121,22.128461837768555,23.700254440307617,116,1325
hand_lags_v1,gcn_gru,v1,12,7,2023,True,False,0,772,38,18.986398696899414,42.356441497802734,35.1837043762207,363,1300
hand_lags_v1,gcn_gru,v1,12,8,2024,True,False,0,825,11,9.977286338806152,18.823209762573242,23.44369888305664,145,1300
hand_lags_v1,gcn_gru,v1,12,9,2025,True,False,0,877,20,9.062872886657715,15.93398380279541,18.207979202270508,103,1300
learned_lags,gcn_gru,v0,37,1,2017,True,False,0,434,34,65.17975616455078,154.3804931640625,74.24501037597656,1114,1300
learned_lags,gcn_gru,v0,37,2,2018,True,False,0,487,1,10.215429306030273,16.43286895751953,16.231115341186523,273,1300
learned_lags,gcn_gru,v0,37,3,2019,True,False,0,539,22,17.626785278320312,37.093414306640625,33.98554611206055,476,1300
learned_lags,gcn_gru,v0,37,4,2020,False,True,0,591,14,7.410861015319824,15.65600872039795,24.266550064086914,117,1300
learned_lags,gcn_gru,v0,37,5,2021,False,True,0,643,24,7.099245071411133,19.59999656677246,30.939565658569336,31,1300
learned_lags,gcn_gru,v0,37,6,2022,True,False,0,695,10,12.033021926879883,21.930997848510742,24.16271209716797,116,1325
learned_lags,gcn_gru,v0,37,7,2023,True,False,0,747,84,20.582319259643555,45.66779327392578,38.311283111572266,363,1300
learned_lags,gcn_gru,v0,37,8,2024,True,False,0,800,14,9.933248519897461,19.165321350097656,23.3455867767334,145,1300
learned_lags,gcn_gru,v0,37,9,2025,True,False,0,852,17,9.142005920410156,16.4681396484375,19.46089744567871,103,1300
no_lags_v0,gcn_gru,v0,12,1,2017,True,False,0,459,23,48.42958068847656,115.33311462402344,54.751319885253906,1114,1300
no_lags_v0,gcn_gru,v0,12,2,2018,True,False,0,512,2,10.313189506530762,16.31674575805664,16.035341262817383,273,1300
no_lags_v0,gcn_gru,v0,12,3,2019,True,False,0,564,16,17.488563537597656,35.65531539916992,33.575740814208984,476,1300
no_lags_v0,gcn_gru,v0,12,4,2020,False,True,0,616,11,7.579914569854736,15.863624572753906,25.272933959960938,117,1300
no_lags_v0,gcn_gru,v0,12,5,2021,False,True,0,668,32,7.2699294090271,19.827177047729492,33.4218635559082,31,1300
no_lags_v0,gcn_gru,v0,12,6,2022,True,False,0,720,12,12.178936004638672,22.141769409179688,23.699308395385742,116,1325
no_lags_v0,gcn_gru,v0,12,7,2023,True,False,0,772,38,18.985227584838867,43.40879821777344,34.30241775512695,363,1300
no_lags_v0,gcn_gru,v0,12,8,2024,True,False,0,825,32,10.013100624084473,19.117464065551758,23.636934280395508,145,1300
no_lags_v0,gcn_gru,v0,12,9,2025,True,False,0,877,21,9.054924011230469,15.946895599365234,17.958431243896484,103,1300
no_climate,gcn_gru,v0,12,1,2017,True,False,0,459,69,52.78036117553711,133.207275390625,59.830360412597656,1114,1300
no_climate,gcn_gru,v0,12,2,2018,True,False,0,512,1,10.310811996459961,16.488557815551758,16.21644401550293,273,1300
no_climate,gcn_gru,v0,12,3,2019,True,False,0,564,30,17.91209602355957,36.706607818603516,34.802391052246094,476,1300
no_climate,gcn_gru,v0,12,4,2020,False,True,0,616,11,7.207447528839111,15.295912742614746,23.453142166137695,117,1300
no_climate,gcn_gru,v0,12,5,2021,False,True,0,668,17,7.119387626647949,19.937763214111328,31.997373580932617,31,1300
no_climate,gcn_gru,v0,12,6,2022,True,False,0,720,16,12.19648551940918,22.163835525512695,23.560461044311523,116,1325
no_climate,gcn_gru,v0,12,7,2023,True,False,0,772,45,18.69008445739746,42.64804458618164,34.679786682128906,363,1300
no_climate,gcn_gru,v0,12,8,2024,True,False,0,825,58,10.044493675231934,19.78777313232422,24.415258407592773,145,1300
no_climate,gcn_gru,v0,12,9,2025,True,False,0,877,25,9.023475646972656,16.00934410095215,18.42816925048828,103,1300
