model,fold_id,test_year,covers_covid,headline,mae,rmse,peak_mae,peak_cells,cells
persistence,1,2017,False,True,36.07692307692308,80.92689008272552,39.4245960502693,1114,1300
seasonal_naive,1,2017,False,True,111.09846153846154,242.0244933567993,126.6463195691203,1114,1300
persistence,2,2018,False,True,10.453846153846154,16.721243972862784,16.336996336996336,273,1300
seasonal_naive,2,2018,False,True,104.19692307692307,230.897099958468,125.26373626373626,273,1300
persistence,3,2019,False,True,17.304615384615385,35.090081877274756,32.313025210084035,476,1300
seasonal_naive,3,2019,False,True,51.66538461538462,104.89114137267045,109.07563025210084,476,1300
persistence,4,2020,True,False,7.409230769230769,16.26719208903425,26.623931623931625,117,1300
seasonal_naive,4,2020,True,False,65.6,136.33164878904114,64.5042735042735,117,1300
persistence,5,2021,True,False,7.226923076923077,20.795321219336444,35.483870967741936,31,1300
seasonal_naive,5,2021,True,False,23.358461538461537,51.87197257152979,60.70967741935484,31,1300
persistence,6,2022,False,True,12.572830188679244,22.81646211392613,23.655172413793103,116,1325
seasonal_naive,6,2022,False,True,21.001509433962266,36.407245805880606,41.64655172413793,116,1325
persistence,7,2023,False,True,18.834615384615386,42.67848494174878,32.58126721763085,363,1300
seasonal_naive,7,2023,False,True,40.11538461538461,85.19390552417197,84.97520661157024,363,1300
persistence,8,2024,False,True,10.781538461538462,21.56674790933059,25.76551724137931,145,1300
seasonal_naive,8,2024,False,True,37.58461538461538,78.0305758612018,54.0,145,1300
persistence,9,2025,False,True,8.95,15.501786497542295,16.194174757281555,103,1300
seasonal_naive,9,2025,False,True,22.504615384615384,53.901448531984315,52.0873786407767,103,1300
